Date,Open,High,Low,Close,Adj Close,Volume
2020-03-30,36.000000,37.599998,35.290001,35.689999,35.296368,7771300
2020-03-31,35.500000,36.189999,32.730000,33.560001,33.189861,9164700
2020-04-01,32.000000,32.599998,30.620001,32.250000,31.894308,9374500
2020-04-02,32.220001,34.340000,31.410000,32.139999,31.785521,8218500
2020-04-03,31.900000,32.110001,29.209999,30.959999,30.618534,9315200
2020-04-06,32.700001,35.389999,32.500000,34.750000,34.366734,9036800
2020-04-07,38.000000,38.400002,36.150002,37.000000,36.591919,17594800
2020-04-08,37.299999,38.000000,36.299999,37.750000,37.333649,11386100
2020-04-09,38.090000,39.299999,36.580002,36.580002,36.176556,10842600
2020-04-13,36.099998,36.930000,34.910000,36.040001,35.642509,10571900
2020-04-14,36.560001,38.650002,36.060001,36.060001,35.662285,13743500
2020-04-15,35.500000,37.299999,35.110001,35.750000,35.355705,15017500
2020-04-16,36.099998,37.130001,35.369999,35.650002,35.256809,15335800
2020-04-17,36.750000,37.950001,35.799999,37.500000,37.481689,15538300
2020-04-20,36.490002,39.680000,36.250000,39.000000,38.980957,9372800
2020-04-22,39.230000,42.000000,39.000000,40.930000,40.910015,13993100
2020-04-23,42.000000,42.900002,38.250000,39.450001,39.430737,10468700
2020-04-24,38.310001,38.650002,34.480000,37.669998,37.651604,16672800
2020-04-27,38.400002,38.950001,36.959999,38.660000,38.641125,11468900
2020-04-28,39.860001,41.080002,39.799999,40.220001,40.200363,10221900
2020-04-29,41.150002,41.430000,40.259998,40.570000,40.550190,7577700
2020-04-30,40.000000,40.369999,37.810001,38.389999,38.389999,10160800
2020-05-04,36.990002,37.590000,35.930000,37.209999,37.209999,7359100
2020-05-05,38.000000,38.490002,36.200001,36.349998,36.349998,5887100
2020-05-06,36.480000,36.900002,34.980000,35.630001,35.630001,9802000
2020-05-07,35.959999,36.220001,32.730000,33.310001,33.310001,18885300
2020-05-08,33.700001,34.330002,32.660000,33.900002,33.900002,11321000
2020-05-11,33.599998,33.660000,32.009998,32.700001,32.700001,12850200
2020-05-12,33.490002,34.419998,32.500000,33.080002,33.080002,14304300
2020-05-13,32.799999,33.860001,31.700001,31.780001,31.780001,10339200
2020-05-14,31.299999,33.299999,30.830000,33.299999,33.299999,12633200
2020-05-15,32.959999,34.590000,32.299999,33.419998,33.419998,12490300
2020-05-18,35.099998,36.299999,34.669998,36.200001,36.200001,14884000
2020-05-19,37.389999,38.500000,36.330002,36.790001,36.790001,13899400
2020-05-20,36.740002,38.689999,36.570000,38.279999,38.279999,10998400
2020-05-21,38.580002,41.500000,38.090000,40.770000,40.770000,17118000
2020-05-22,38.599998,39.480000,37.270000,37.369999,37.369999,16624400
2020-05-25,38.549999,40.900002,38.419998,40.369999,40.369999,8561600
2020-05-26,41.000000,41.520000,38.110001,38.150002,38.150002,10161000
2020-05-27,38.980000,39.810001,37.560001,39.790001,39.790001,11602800
2020-05-28,39.500000,39.700001,38.639999,39.029999,39.029999,8906000
2020-05-29,38.810001,39.200001,37.669998,38.549999,38.549999,18639500
2020-06-01,38.299999,41.820000,37.930000,40.990002,40.990002,12172700
2020-06-02,41.689999,42.380001,41.020000,42.130001,42.130001,10058400
2020-06-03,42.840000,44.889999,42.750000,44.180000,44.180000,12534500
2020-06-04,44.450001,45.439999,43.520000,44.560001,44.560001,8496700
2020-06-05,46.990002,47.689999,45.119999,45.980000,45.980000,12642600
2020-06-08,46.700001,48.040001,45.430000,46.209999,46.209999,10427400
2020-06-09,45.509998,46.080002,44.540001,45.820000,45.820000,7554000
2020-06-10,46.299999,46.570000,43.490002,43.900002,43.900002,7608100
2020-06-12,42.400002,43.820000,41.400002,42.980000,42.980000,10689200
2020-06-15,41.259998,43.060001,40.340000,42.130001,42.130001,10514400
2020-06-16,43.770000,44.279999,41.759998,41.759998,41.759998,7111600
